age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churn,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,value_per_hour,activity_status,age_group
51,Other,Basic,14.73,29,Africa,Tv,8.99,True,Gift Card,1,0.49,Action,1.64,Intermittent,51+
47,Other,Standard,0.7,19,Europe,Mobile,13.99,True,Gift Card,5,0.03,Sci-Fi,0.05,Intermittent,36-50
27,Female,Standard,16.32,10,Asia,Tv,13.99,False,Crypto,2,1.48,Drama,1.17,Intermittent,26-35
53,Other,Premium,4.51,12,Oceania,Tv,17.99,True,Crypto,2,0.35,Horror,0.25,Intermittent,51+
56,Other,Standard,1.89,13,Africa,Mobile,13.99,True,Crypto,2,0.13,Action,0.14,Intermittent,51+
58,Female,Standard,13.8,26,Oceania,Mobile,13.99,False,Debit Card,3,0.51,Action,0.99,Intermittent,51+
48,Other,Basic,13.83,20,Asia,Tv,8.99,False,Gift Card,5,0.66,Romance,1.54,Intermittent,36-50
51,Male,Basic,14.3,56,Europe,Mobile,8.99,True,Gift Card,1,0.25,Action,1.59,Dormant,51+
45,Other,Basic,9.98,10,Asia,Mobile,8.99,False,Paypal,3,0.91,Romance,1.11,Intermittent,36-50
32,Other,Premium,2.22,34,Europe,Tv,17.99,True,Debit Card,1,0.06,Drama,0.12,Dormant,26-35
26,Male,Premium,15.42,36,Asia,Laptop,17.99,False,Debit Card,4,0.42,Comedy,0.86,Dormant,26-35
28,Other,Standard,22.26,38,South America,Mobile,13.99,False,Crypto,5,0.57,Horror,1.59,Dormant,26-35
47,Other,Standard,7.92,23,South America,Tv,13.99,False,Crypto,1,0.33,Sci-Fi,0.57,Intermittent,36-50
49,Female,Basic,5.26,33,South America,Mobile,8.99,True,Crypto,3,0.15,Documentary,0.59,Dormant,36-50
39,Female,Basic,10.97,10,Oceania,Mobile,8.99,False,Paypal,1,1.0,Comedy,1.22,Intermittent,36-50
32,Female,Premium,40.94,7,South America,Desktop,17.99,False,Crypto,1,5.12,Action,2.28,Active,26-35
46,Other,Premium,1.25,13,Europe,Tablet,17.99,True,Debit Card,3,0.09,Comedy,0.07,Intermittent,36-50
48,Female,Standard,8.12,32,Africa,Desktop,13.99,True,Crypto,2,0.25,Action,0.58,Dormant,36-50
68,Female,Premium,7.67,40,Oceania,Tablet,17.99,False,Paypal,4,0.19,Romance,0.43,Dormant,51+
